Entity,ISO3,Year,Age,Population,Start Age
Hungary,HUN,2017,Age: 0-4,463550,0
Hungary,HUN,2017,Age: 15-24,1078868,15
Hungary,HUN,2017,Age: 25-64,5446633,25
Hungary,HUN,2017,Age: 5-14,958846,5
Hungary,HUN,2017,Age: 65+,1837133,65
Hungary,HUN,2018,Age: 0-4,466982,0
Hungary,HUN,2018,Age: 15-24,1058432,15
Hungary,HUN,2018,Age: 25-64,5424363,25
Hungary,HUN,2018,Age: 5-14,954851,5
Hungary,HUN,2018,Age: 65+,1869198,65
Hungary,HUN,2019,Age: 0-4,468423,0
Hungary,HUN,2019,Age: 15-24,1038825,15
Hungary,HUN,2019,Age: 25-64,5394702,25
Hungary,HUN,2019,Age: 5-14,953126,5
Hungary,HUN,2019,Age: 65+,1914590,65
Hungary,HUN,2020,Age: 0-4,469070,0
Hungary,HUN,2020,Age: 15-24,1019545,15
Hungary,HUN,2020,Age: 25-64,5351888,25
Hungary,HUN,2020,Age: 5-14,950225,5
Hungary,HUN,2020,Age: 65+,1957872,65
Hungary,HUN,2021,Age: 0-4,469283,0
Hungary,HUN,2021,Age: 15-24,1007235,15
Hungary,HUN,2021,Age: 25-64,5305749,25
Hungary,HUN,2021,Age: 5-14,944691,5
Hungary,HUN,2021,Age: 65+,1979911,65
Hungary,HUN,2022,Age: 0-4,466950,0
Hungary,HUN,2022,Age: 15-24,1002111,15
Hungary,HUN,2022,Age: 25-64,5277374,25
Hungary,HUN,2022,Age: 5-14,942172,5
Hungary,HUN,2022,Age: 65+,1994610,65
Hungary,HUN,2023,Age: 0-4,462049,0
Hungary,HUN,2023,Age: 15-24,1001358,15
Hungary,HUN,2023,Age: 25-64,5265344,25
Hungary,HUN,2023,Age: 5-14,941078,5
Hungary,HUN,2023,Age: 65+,2015390,65
Singapore,SGP,1950,Age: 0-4,165812,0
Singapore,SGP,1950,Age: 15-24,180679,15
Singapore,SGP,1950,Age: 25-64,396878,25
Singapore,SGP,1950,Age: 5-14,246080,5
Singapore,SGP,1950,Age: 65+,23865,65
Singapore,SGP,1951,Age: 0-4,182449,0
Singapore,SGP,1951,Age: 15-24,192186,15
Singapore,SGP,1951,Age: 25-64,413399,25
Singapore,SGP,1951,Age: 5-14,255969,5
Singapore,SGP,1951,Age: 65+,24037,65
Singapore,SGP,1952,Age: 0-4,199659,0
Singapore,SGP,1952,Age: 15-24,204508,15
Singapore,SGP,1952,Age: 25-64,431024,25
Singapore,SGP,1952,Age: 5-14,266489,5
Singapore,SGP,1952,Age: 65+,24408,65
Singapore,SGP,1953,Age: 0-4,216563,0
Singapore,SGP,1953,Age: 15-24,217069,15
Singapore,SGP,1953,Age: 25-64,450125,25
Singapore,SGP,1953,Age: 5-14,278749,5
Singapore,SGP,1953,Age: 65+,25016,65
Singapore,SGP,1954,Age: 0-4,232436,0
Singapore,SGP,1954,Age: 15-24,229060,15
Singapore,SGP,1954,Age: 25-64,470961,25
Singapore,SGP,1954,Age: 5-14,293883,5
Singapore,SGP,1954,Age: 65+,25939,65
Singapore,SGP,1955,Age: 0-4,246004,0
Singapore,SGP,1955,Age: 15-24,239981,15
Singapore,SGP,1955,Age: 25-64,493567,25
Singapore,SGP,1955,Age: 5-14,313346,5
Singapore,SGP,1955,Age: 65+,27328,65
Singapore,SGP,1956,Age: 0-4,257387,0
Singapore,SGP,1956,Age: 15-24,249635,15
Singapore,SGP,1956,Age: 25-64,517631,25
Singapore,SGP,1956,Age: 5-14,336999,5
Singapore,SGP,1956,Age: 65+,29298,65
Singapore,SGP,1957,Age: 0-4,267516,0
Singapore,SGP,1957,Age: 15-24,256588,15
Singapore,SGP,1957,Age: 25-64,539925,25
Singapore,SGP,1957,Age: 5-14,362665,5
Singapore,SGP,1957,Age: 65+,31580,65
Singapore,SGP,1958,Age: 0-4,275415,0
Singapore,SGP,1958,Age: 15-24,260431,15
Singapore,SGP,1958,Age: 25-64,557462,25
Singapore,SGP,1958,Age: 5-14,388681,5
Singapore,SGP,1958,Age: 65+,33736,65
Singapore,SGP,1959,Age: 0-4,280517,0
Singapore,SGP,1959,Age: 15-24,263740,15
Singapore,SGP,1959,Age: 25-64,572790,25
Singapore,SGP,1959,Age: 5-14,414845,5
Singapore,SGP,1959,Age: 65+,35859,65
Singapore,SGP,1960,Age: 0-4,283251,0
Singapore,SGP,1960,Age: 15-24,268792,15
Singapore,SGP,1960,Age: 25-64,588484,25
Singapore,SGP,1960,Age: 5-14,440662,5
Singapore,SGP,1960,Age: 65+,38133,65
Singapore,SGP,1961,Age: 0-4,283858,0
Singapore,SGP,1961,Age: 15-24,276425,15
Singapore,SGP,1961,Age: 25-64,604712,25
Singapore,SGP,1961,Age: 5-14,464951,5
Singapore,SGP,1961,Age: 65+,40518,65
Singapore,SGP,1962,Age: 0-4,282463,0
Singapore,SGP,1962,Age: 15-24,287083,15
Singapore,SGP,1962,Age: 25-64,621610,25
Singapore,SGP,1962,Age: 5-14,486992,5
Singapore,SGP,1962,Age: 65+,43029,65
Singapore,SGP,1963,Age: 0-4,279960,0
Singapore,SGP,1963,Age: 15-24,300909,15
Singapore,SGP,1963,Age: 25-64,639093,25
Singapore,SGP,1963,Age: 5-14,505776,5
Singapore,SGP,1963,Age: 65+,45771,65
Singapore,SGP,1964,Age: 0-4,277190,0
Singapore,SGP,1964,Age: 15-24,317314,15
Singapore,SGP,1964,Age: 25-64,656970,25
Singapore,SGP,1964,Age: 5-14,521211,5
Singapore,SGP,1964,Age: 65+,48778,65
Singapore,SGP,1965,Age: 0-4,274118,0
Singapore,SGP,1965,Age: 15-24,335525,15
Singapore,SGP,1965,Age: 25-64,674950,25
Singapore,SGP,1965,Age: 5-14,534253,5
Singapore,SGP,1965,Age: 65+,51975,65
Singapore,SGP,1966,Age: 0-4,270341,0
Singapore,SGP,1966,Age: 15-24,355574,15
Singapore,SGP,1966,Age: 25-64,692503,25
Singapore,SGP,1966,Age: 5-14,545364,5
Singapore,SGP,1966,Age: 65+,55298,65
Singapore,SGP,1967,Age: 0-4,265301,0
Singapore,SGP,1967,Age: 15-24,377949,15
Singapore,SGP,1967,Age: 25-64,709080,25
Singapore,SGP,1967,Age: 5-14,554559,5
Singapore,SGP,1967,Age: 65+,58789,65
Singapore,SGP,1968,Age: 0-4,258468,0
Singapore,SGP,1968,Age: 15-24,402844,15
Singapore,SGP,1968,Age: 25-64,724611,25
Singapore,SGP,1968,Age: 5-14,561735,5
Singapore,SGP,1968,Age: 65+,62437,65
Singapore,SGP,1969,Age: 0-4,249622,0
Singapore,SGP,1969,Age: 15-24,429363,15
Singapore,SGP,1969,Age: 25-64,740212,25
Singapore,SGP,1969,Age: 5-14,566715,5
Singapore,SGP,1969,Age: 65+,66245,65
Singapore,SGP,1970,Age: 0-4,239593,0
Singapore,SGP,1970,Age: 15-24,455593,15
Singapore,SGP,1970,Age: 25-64,757407,25
Singapore,SGP,1970,Age: 5-14,568867,5
Singapore,SGP,1970,Age: 65+,70103,65
Singapore,SGP,1971,Age: 0-4,230399,0
Singapore,SGP,1971,Age: 15-24,479791,15
Singapore,SGP,1971,Age: 25-64,777324,25
Singapore,SGP,1971,Age: 5-14,567038,5
Singapore,SGP,1971,Age: 65+,73887,65
Singapore,SGP,1972,Age: 0-4,223852,0
Singapore,SGP,1972,Age: 15-24,500700,15
Singapore,SGP,1972,Age: 25-64,801407,25
Singapore,SGP,1972,Age: 5-14,560579,5
Singapore,SGP,1972,Age: 65+,77799,65
Singapore,SGP,1973,Age: 0-4,220436,0
Singapore,SGP,1973,Age: 15-24,518435,15
Singapore,SGP,1973,Age: 25-64,829594,25
Singapore,SGP,1973,Age: 5-14,549670,5
Singapore,SGP,1973,Age: 65+,82002,65
Singapore,SGP,1974,Age: 0-4,219168,0
Singapore,SGP,1974,Age: 15-24,534230,15
Singapore,SGP,1974,Age: 25-64,860234,25
Singapore,SGP,1974,Age: 5-14,534968,5
Singapore,SGP,1974,Age: 65+,86470,65
Singapore,SGP,1975,Age: 0-4,217855,0
Singapore,SGP,1975,Age: 15-24,548861,15
Singapore,SGP,1975,Age: 25-64,892022,25
Singapore,SGP,1975,Age: 5-14,518567,5
Singapore,SGP,1975,Age: 65+,91218,65
Singapore,SGP,1976,Age: 0-4,214861,0
Singapore,SGP,1976,Age: 15-24,562088,15
Singapore,SGP,1976,Age: 25-64,924495,25
Singapore,SGP,1976,Age: 5-14,503094,5
Singapore,SGP,1976,Age: 65+,96197,65
Singapore,SGP,1977,Age: 0-4,209610,0
Singapore,SGP,1977,Age: 15-24,572746,15
Singapore,SGP,1977,Age: 25-64,958403,25
Singapore,SGP,1977,Age: 5-14,489520,5
Singapore,SGP,1977,Age: 65+,101248,65
Singapore,SGP,1978,Age: 0-4,202606,0
Singapore,SGP,1978,Age: 15-24,580194,15
Singapore,SGP,1978,Age: 25-64,994868,25
Singapore,SGP,1978,Age: 5-14,476837,5
Singapore,SGP,1978,Age: 65+,106088,65
Singapore,SGP,1979,Age: 0-4,196000,0
Singapore,SGP,1979,Age: 15-24,583938,15
Singapore,SGP,1979,Age: 25-64,1034252,25
Singapore,SGP,1979,Age: 5-14,463449,5
Singapore,SGP,1979,Age: 65+,110502,65
Singapore,SGP,1980,Age: 0-4,193237,0
Singapore,SGP,1980,Age: 15-24,591166,15
Singapore,SGP,1980,Age: 25-64,1087291,25
Singapore,SGP,1980,Age: 5-14,450724,5
Singapore,SGP,1980,Age: 65+,115058,65
Singapore,SGP,1981,Age: 0-4,196424,0
Singapore,SGP,1981,Age: 15-24,608054,15
Singapore,SGP,1981,Age: 25-64,1165427,25
Singapore,SGP,1981,Age: 5-14,441419,5
Singapore,SGP,1981,Age: 65+,120451,65
Singapore,SGP,1982,Age: 0-4,202353,0
Singapore,SGP,1982,Age: 15-24,619556,15
Singapore,SGP,1982,Age: 25-64,1244964,25
Singapore,SGP,1982,Age: 5-14,434433,5
Singapore,SGP,1982,Age: 65+,126082,65
Singapore,SGP,1983,Age: 0-4,206960,0
Singapore,SGP,1983,Age: 15-24,615391,15
Singapore,SGP,1983,Age: 25-64,1304012,25
Singapore,SGP,1983,Age: 5-14,428366,5
Singapore,SGP,1983,Age: 65+,131216,65
Singapore,SGP,1984,Age: 0-4,209813,0
Singapore,SGP,1984,Age: 15-24,601048,15
