Location,ISO3,Time,Age Group,Value,Percentage
Singapore,SGP,2010,15-64,3986943,0.785292891
Singapore,SGP,2010,65+,372512.5,0.07337236
Singapore,SGP,2011,0-14,712368.5,0.137463459
Singapore,SGP,2011,15-64,4082121.5,0.787713863
Singapore,SGP,2011,65+,387749,0.074822678
Singapore,SGP,2012,0-14,709360.5,0.134010014
Singapore,SGP,2012,15-64,4172140.5,0.788186834
Singapore,SGP,2012,65+,411838.5,0.077803152
Singapore,SGP,2013,0-14,705868.5,0.131066178
Singapore,SGP,2013,15-64,4239979,0.787282393
Singapore,SGP,2013,65+,439741,0.08165143
Singapore,SGP,2014,0-14,702814.5,0.128770131
Singapore,SGP,2014,15-64,4287012.5,0.785469228
Singapore,SGP,2014,65+,468073,0.085760641
Singapore,SGP,2015,0-14,700755,0.126825691
Singapore,SGP,2015,15-64,4327403,0.783192236
Singapore,SGP,2015,65+,497181.5,0.089982073
Singapore,SGP,2016,0-14,698423,0.125211873
Singapore,SGP,2016,15-64,4352507,0.780308715
Singapore,SGP,2016,65+,526999.5,0.094479412
Singapore,SGP,2017,0-14,696297.5,0.124248349
Singapore,SGP,2017,15-64,4349389.5,0.776111452
Singapore,SGP,2017,65+,558391.5,0.0996402
Singapore,SGP,2018,0-14,694683,0.123293831
Singapore,SGP,2018,15-64,4348999,0.771869683
Singapore,SGP,2018,65+,590687.5,0.104836486
Singapore,SGP,2019,0-14,692427.5,0.122130676
Singapore,SGP,2019,15-64,4354897.5,0.768118792
Singapore,SGP,2019,65+,622237.5,0.109750532
Singapore,SGP,2020,0-14,684226.5,0.121745227
Singapore,SGP,2020,15-64,4284832.5,0.762405295
Singapore,SGP,2020,65+,651091.5,0.115849478
Singapore,SGP,2021,0-14,674920,0.121688552
Singapore,SGP,2021,15-64,4191495,0.755729506
Singapore,SGP,2021,65+,679875,0.122581942
Singapore,SGP,2022,0-14,678285,0.120052897
Singapore,SGP,2022,15-64,4254578.5,0.753038137
Singapore,SGP,2022,65+,717021,0.126908966
Singapore,SGP,2023,0-14,682387.5,0.117874754
Singapore,SGP,2023,15-64,4348599.5,0.751171579
Singapore,SGP,2023,65+,758102.5,0.130953667
